Category,Institution,Name,Description,Focus Areas,Contact,Website
Academia,University of St.Gallen (HSG),Institute of Business Ethics (IWE-HSG),Research on ethical challenges in business and society.,"Business Ethics, Sustainability, Corporate Social Responsibility",iwe@unisg.ch,https://iwe.unisg.ch
Academia,University of St.Gallen (HSG),Institute for Management in Latin America (CLA-HSG),Research on business strategies in Latin America.,"Latin America, International Business, Emerging Markets",cla@unisg.ch,https://cla.unisg.ch
Academia,Eastern Switzerland University of Applied Sciences (OST),"Department of Architecture, Civil Engineering & Landscape Architecture","Research and education in sustainable construction, civil engineering, and landscape design.","Sustainable Construction, Civil Engineering, Landscape Architecture",architecture@ost.ch,https://www.ost.ch
Academia,Eastern Switzerland University of Applied Sciences (OST),Department of Computer Science,"Research and education in software development, artificial intelligence, and data science.","Software Development, Artificial Intelligence, Data Science",cs@ost.ch,https://www.ost.ch
Academia,Eastern Switzerland University of Applied Sciences (OST),Department of Health Sciences,"Research in nursing science, medical technology, and healthcare innovation.","Nursing Science, Medical Technology, Healthcare Research",health@ost.ch,https://www.ost.ch
Academia,Eastern Switzerland University of Applied Sciences (OST),Department of Social Work,"Research and education in social work, social policy, and inclusion.","Social Work, Inclusion, Social Policy",socialwork@ost.ch,https://www.ost.ch
Academia,Eastern Switzerland University of Applied Sciences (OST),Department of Technology & Engineering,"Practice-oriented education in mechanical engineering, electrical engineering, and sustainable technologies.","Mechanical Engineering, Electrical Engineering, Renewable Energies",engineering@ost.ch,https://www.ost.ch
Academia,Eastern Switzerland University of Applied Sciences (OST),Department of Electrical Engineering,"Research in microelectronics, signal processing, and high voltage technology.","Microelectronics, Signal Processing, High Voltage Engineering",electrical@ost.ch,https://www.ost.ch
Academia,Eastern Switzerland University of Applied Sciences (OST),Department of Mechanical Engineering,"Research and education in manufacturing technology, materials science, and automation.","Manufacturing Technology, Materials Science, Automation",mechanical@ost.ch,https://www.ost.ch
Academia,Eastern Switzerland University of Applied Sciences (OST),Department of Renewable Energies & Environmental Technology,"Research on sustainable energy, climate protection, and environmental engineering.","Sustainable Energy, Climate Protection, Environmental Technology",renewable@ost.ch,https://www.ost.ch
Academia,Eastern Switzerland University of Applied Sciences (OST),Department of Industrial Engineering,"Research on production management, logistics, and supply chain management.","Production Management, Logistics, Supply Chain Management",industrial@ost.ch,https://www.ost.ch
Academia,Eastern Switzerland University of Applied Sciences (OST),Department of Medical Informatics,"Research on digital health, data analysis, and e-health applications.","Digital Health, Data Analysis, E-Health",medicalinformatics@ost.ch,https://www.ost.ch
Academia,Eastern Switzerland University of Applied Sciences (OST),Department of Systems Engineering,"Research in mechatronics, automation, and robotics.","Mechatronics, Automation, Robotics",systems@ost.ch,https://www.ost.ch
Academia,Eastern Switzerland University of Applied Sciences (OST),Department of Transport Systems,"Research on mobility, traffic engineering, and smart cities.","Mobility, Traffic Engineering, Smart Cities",transport@ost.ch,https://www.ost.ch
Academia,Eastern Switzerland University of Applied Sciences (OST),Department of Micro- and Nanotechnology,"Research in semiconductor technology, sensor technology, and photonics.","Semiconductor Technology, Sensor Technology, Photonics",micro@ost.ch,https://www.ost.ch
Academia,Eastern Switzerland University of Applied Sciences (OST),Department of Plastics Engineering,"Research on polymer materials, injection molding, and recycling.","Polymer Materials, Injection Molding, Recycling",plastics@ost.ch,https://www.ost.ch
Academia,Eastern Switzerland University of Applied Sciences (OST),Department of Food and Biotechnology,"Research on food innovation, biotechnology, and process optimization.","Food Innovation, Biotechnology, Process Optimization",food@ost.ch,https://www.ost.ch
Academia,Eastern Switzerland University of Applied Sciences (OST),Department of Business Psychology,"Research on decision psychology, organizational development, and consumer behavior.","Decision Psychology, Organizational Development, Consumer Behavior",psychology@ost.ch,https://www.ost.ch
Academia,Eastern Switzerland University of Applied Sciences (OST),Department of Digital Transformation & Innovation Management,"Research on digitalization, innovation strategies, and technology management.","Digitalization, Innovation Strategies, Technology Management",digital@ost.ch,https://www.ost.ch
Academia,Eastern Switzerland University of Applied Sciences (OST),Department of Business and Administration,"Research and education in business administration, finance, and corporate strategy.","Business Administration, Finance, Corporate Strategy",business@ost.ch,https://www.ost.ch
Funding,Innovation Network Eastern Switzerland,INOS,Funding and coaching support for SMEs and startups in Eastern Switzerland.,"Product Innovation, Process Optimization, Business Models",info@inos.swiss,https://inos.swiss
Network,Switzerland Innovation Park Ost (SIPOst),Switzerland Innovation Park Ost,Innovation hub connecting science and industry for technological advancements.,"Technology Development, Business Models, Startup Support",info@sipost.ch,https://www.switzerland-innovation.com/ost
Association,Chamber of Commerce St.Gallen-Appenzell (IHK),IHK - Chamber of Commerce,Support and representation for businesses in Eastern Switzerland.,"Export Consulting, Further Education, Networking Events",info@ihk.ch,https://www.ihk.ch
Association,Cantonal Trade Association St.Gallen (KGV),KGV - Trade Association,Representation of SME and trade interests in Eastern Switzerland.,"Legal Advice, Further Education, Interest Representation",info@kgv.ch,https://www.kgv.ch
Government,Canton of St. Gallen,Economic Promotion Canton of St. Gallen,Strengthening the regional economy through networking and information sharing.,"Business Networking, Economic Information, Policy Representation",info@wirtschaftsg.ch,https://www.wirtschaftsg.ch
Research,RhySearch,RhySearch Innovation Center,"Applied research in optical coatings, high-precision manufacturing, and digital innovation.","Optical Coatings, High-Precision Manufacturing, Digital Innovation",info@rhysearch.ch,https://www.rhysearch.ch
Research,University of St.Gallen (HSG),KMU-HSG - Swiss SME Institute,Support for SMEs and family businesses through research and practical advice.,"SMEs, Family Businesses, Corporate Strategy",info@kmu.unisg.ch,https://www.kmu.unisg.ch
Network,"""IT rockt!"" St.Gallen","""IT rockt!"" Digital Innovation Network",Promotion of digital transformation and ICT workforce development in Eastern Switzerland.,"ICT, Digital Transformation, Talent Development",info@itrockt.ch,https://www.itrockt.ch
Funding,Innosuisse,Innovation Projects with Partners,"Financial support for companies collaborating with research partners to develop innovative products, services, or processes.","Product Innovation, Service Development, Process Optimization",info@innosuisse.ch,https://www.innosuisse.admin.ch/en/funding-for-national-projects
Funding,Innosuisse,Innovation Projects without Partners,"Support for researchers to carry out innovation projects independently, aiming to develop ideas with strong commercial potential.","Independent Research, Commercialization, Market Entry",info@innosuisse.ch,https://www.innosuisse.admin.ch/en/funding-for-national-projects
Funding,Innosuisse,Innovation Cheque,Vouchers for SMEs or small organizations to conduct preliminary studies and test innovative ideas in collaboration with a Swiss research partner.,"Feasibility Studies, Idea Validation, Research Collaboration",info@innosuisse.ch,https://www.innosuisse.admin.ch/en/funding-for-national-projects
Funding,Innosuisse,Flagship Initiative,Encourages systemic and transdisciplinary innovations by fostering collaboration among multiple partners to address current and future challenges.,"Collaborative Innovation, Systemic Solutions, Transdisciplinary Research",info@innosuisse.ch,https://www.innosuisse.admin.ch/en/funding-for-national-projects
Funding,Innosuisse,BRIDGE Projects,Joint program with the Swiss National Science Foundation to help researchers transform their scientific results into marketable products and services.,"Research Commercialization, Product Development, Service Innovation",info@innosuisse.ch,https://www.innosuisse.admin.ch/en/funding-for-national-projects
Funding,Innosuisse,Swiss Accelerator Innovation Projects,"Transitional measure to accelerate the growth of SMEs or start-ups already established in the market, aiming to expedite the launch of new products or services.","Business Growth, Market Expansion, Product Launch",info@innosuisse.ch,https://www.innosuisse.admin.ch/en/funding-for-national-projects
Funding,Innosuisse,International Innovation Projects,"Support for Swiss companies and research institutions to collaborate with international partners on innovation projects, combining Swiss expertise with global insights.","Global Collaboration, Cross-border Innovation, International Partnerships",international@innosuisse.ch,https://www.innosuisse.admin.ch/en/funding-for-international-projects
Research,Empa,Materials meet Life,"Develops novel materials and systems to protect and support the human body under various conditions, focusing on health innovations.","Wearable Sensors, Precision Medicine, Implants, Biomedical Imaging, Nanostructured Materials",info@empa.ch,https://www.empa.ch/web/s604
Research,Empa,Advanced Manufacturing,"Focuses on the development and upscaling of advanced manufacturing technologies, including additive manufacturing and coating processes, to facilitate industrial applications.","Additive Manufacturing, Coating Technologies, Process Upscaling",info@empa.ch,https://www.empa.ch/web/s209
Research,Empa,Sustainable Built Environment,"Aims to develop sustainable solutions for buildings and urban areas, enhancing energy efficiency and reducing environmental impact through innovative materials and technologies.","Energy-efficient Buildings, Urban Sustainability, Environmental Impact Reduction",info@empa.ch,https://www.empa.ch/web/s190
Research,Empa,Energy and Environment,"Conducts research on energy conversion, storage, and efficiency, as well as environmental technologies to address challenges related to energy and resource sustainability.","Energy Conversion, Energy Storage, Environmental Technologies",info@empa.ch,https://www.empa.ch/web/s313
Research,Empa,Transport at Nanoscale Interfaces,"Investigates the properties and behaviors of materials at the nanoscale, particularly focusing on transport phenomena at interfaces, to develop applications in electronics, energy, and sensor technologies.","Nanoscale Materials, Interface Phenomena, Electronic Applications, Sensor Technologies",info@empa.ch,https://www.empa.ch/web/s504
Research,Kantonsspital St.Gallen,Medical Research Center,Supports researchers with a wide range of services and advanced infrastructure to transform diverse research ideas into productive projects.,"Clinical Trials, Immunobiology, Translational Research",mfz@h-och.ch,https://www.h-och.ch/ueber-uns/organisation/departemente/medizinisches-forschungszentrum/
Research,Kantonsspital St.Gallen,Institute of Immunobiology,"Conducts its own research projects and maintains the technical infrastructure of the Medical Research Center, focusing on immunological studies and support for clinical research.","Immunological Research, Technical Infrastructure, Clinical Support",mfz@h-och.ch,https://www.h-och.ch/ueber-uns/organisation/departemente/medizinisches-forschungszentrum/
Research,Kantonsspital St.Gallen,Clinical Trials Unit (CTU),"Offers a broad range of services to assist clinical researchers in implementing their projects, ensuring compliance with regulatory standards and promoting high-quality clinical research.","Clinical Study Design, Regulatory Compliance, Project Implementation",mfz@h-och.ch,https://www.h-och.ch/ueber-uns/organisation/departemente/medizinisches-forschungszentrum/
Research,Kantonsspital St.Gallen,"Department of Hand, Plastic, and Reconstructive Surgery","Provides treatment for various conditions, including acute injuries, degenerative diseases, and congenital malformations, with a focus on upper limb trauma and reconstructive procedures.","Hand Injuries, Reconstructive Surgery, Microsurgical Procedures",martina.greminger@kssg.ch,https://www.ibra.net/Upper-Limbs/$/Kantonsspital-of-St.-Gallen/24
Research,Kantonsspital St.Gallen,Department of Neurology,"Engages in research and treatment of neurological disorders, contributing to advancements in understanding and managing conditions affecting the nervous system.","Neurological Disorders, Clinical Neurology, Neurodegenerative Diseases",info@kssg.ch,https://www.researchgate.net/institution/Kantonsspital_St_Gallen
Research,Kantonsspital St.Gallen,Department of Haematology and Oncology,"Focuses on research and treatment of blood disorders and cancer, aiming to improve patient outcomes through innovative therapies and clinical trials.","Haematology, Oncology, Cancer Research",info@kssg.ch,https://www.researchgate.net/institution/Kantonsspital_St_Gallen
Network,St.Gallen Health,St.Gallen Health,"A network of over 40 institutions in St.Gallen, created to position the city as an attractive location for healthcare companies, aiming to create jobs and attract specialists.","Healthcare Industry, Research Collaboration, Education",annina.huber@stadt.sg.ch,https://en.sg-health.ch/de/
Network,University of St.Gallen (HSG),Circular Economy – Institute of Management & Strategy (IoMS-HSG),Focuses on promoting excellent research and providing high-quality teaching to inspire and empower future generations in the field of Circular Economy. Collaborates with industry partners to implement circular ecosystems.,"Circular Economy Research, Sustainable Business Models, Industry Collaboration",info@unisg.ch,https://ifb.unisg.ch/en/competence-center/circular-economy/
Network,University of St.Gallen (HSG),Sustainability Innovation Lab,Aims to manage sustainability transformations across various sectors by exploring how organizations can implement economically attractive sustainable technologies. Engages in application-oriented projects and cooperates with companies from various industries.,"Sustainability Transformations, Digital Sustainability, Smart City Projects",info@sustainability-innovation.org,https://www.sustainability-innovation.org/
Network,City of St.Gallen,Smart City St.Gallen,"Focuses on the digital transformation and intelligent urban development of St.Gallen, implementing innovative solutions in areas such as mobility, infrastructure, and citizen engagement to enhance the quality of life.","Digital Transformation, Urban Development, Smart Infrastructure",smartcity@stadt.sg.ch,https://www.sustainability-innovation.org/
Association,Swissmem,Swissmem,"The association of the Swiss mechanical, electrical, and metal industries (MEM industries) and related technology-oriented sectors. It represents the interests of the MEM industry in business, politics, and the public and promotes the competitiveness of its approximately 1,400 member companies through tailored services.","Industry Representation, Education & Training, Consulting, Networking, Social Partnership",info@swissmem.ch,https://www.swissmem.ch/
Synthetic,Institute of Management at the University of St.Gallen,Lukas Meier,"Lukas Meier is a renowned expert in Business Strategy, focusing on corporate strategy development, competitive advantage, and strategic innovation. He has published numerous papers on strategic management and consults for major European corporations to enhance their strategic initiatives.",Business Strategy,lukas.meier@unisg.ch,https://www.instituteofmanagementattheuniversityofst.gallen.ch
Synthetic,St. Gallen Institute of Strategic Business Management,Clara Schmidt,"Clara Schmidt is a distinguished expert in Business Strategy, specializing in strategic planning, market analysis, and organizational transformation. She leads research initiatives at the St. Gallen Institute of Strategic Business Management and provides strategic consultancy to multinational companies aiming to optimize their market positioning and operational efficiency.",Business Strategy,clara.schmidt@sgsbm.ch,https://www.st.galleninstituteofstrategicbusinessmanagement.ch
Synthetic,Swiss Innovation Park St. Gallen,Lukas Meier,Lukas Meier is a leading expert in innovation management and strategy at the Swiss Innovation Park St. Gallen. He focuses on fostering collaborative partnerships between academia and industry to drive technological advancements and create sustainable business models. His work involves mentoring startups and managing large-scale research projects aimed at harnessing innovative solutions for global challenges.,Innovation,lukas.meier@swissinnovationpark.ch,https://www.swissinnovationparkst.gallen.ch
Synthetic,Institute of Leadership and Organizational Development (ILOD-HSG),Dr. Lukas Meier,"Dr. Lukas Meier is a renowned expert in leadership development, focusing on transformational leadership and its impact on organizational culture. He leads cutting-edge research at the Institute of Leadership and Organizational Development at the University of St.Gallen, where he also teaches courses on leadership strategy and innovation.",Leadership,lukas.meier@ilod.unisg.ch,https://www.instituteofleadershipandorganizationaldevelopmentilod-hsg.ch
Synthetic,Institute of Banking and Finance (IBF-HSG),Lukas Meier,"Lukas Meier is a renowned expert in banking, specializing in financial risk management and digital banking transformations. He has contributed extensively to research on the impact of regulatory changes on European banks and teaches advanced courses in financial technologies at the University of St.Gallen.",Banking,lukas.meier@ibf.unisg.ch,https://www.instituteofbankingandfinanceibf-hsg.ch
Synthetic,University of St.Gallen (HSG),Lukas Meier,"Dr. Lukas Meier is a senior lecturer at the University of St.Gallen's School of Finance (SoF-HSG), specializing in corporate financial strategy and risk management. His research focuses on capital structure optimization and the impact of financial regulations on corporate behavior.",Corporate Finance,lukas.meier@unisg.ch,https://www.universityofst.gallenhsg.ch
Synthetic,"Institute of Risk Management & Insurance, University of St.Gallen",Lukas Meier,"Lukas Meier is a leading expert in risk management, focusing on financial risk assessment and mitigation strategies. He currently works at the Institute of Risk Management & Insurance at the University of St.Gallen, where he conducts research on risk modeling and consults with industry leaders to implement effective risk management solutions.",Risk Management,lukas.meier@irim.unisg.ch,"https://www.instituteofriskmanagement&insurance,universityofst.gallen.ch"
Synthetic,Swiss Institute of Risk Analysis and Management,Eva Müller,"Eva Müller is a renowned expert in risk management, specializing in enterprise risk management and operational risk. She works at the Swiss Institute of Risk Analysis and Management in St. Gallen, where she leads projects on developing innovative risk assessment frameworks and advises multinational corporations on implementing comprehensive risk management strategies.",Risk Management,eva.mueller@siram.ch,https://www.swissinstituteofriskanalysisandmanagement.ch
Synthetic,University of St.Gallen (HSG),Lukas Meier,Lukas Meier is a leading expert in Economic Policy at the University of St.Gallen. He focuses on the analysis of fiscal policies and their impact on economic growth within the European Union. His current research includes evaluating the effectiveness of policy interventions in response to economic crises.,Economic Policy,lukas.meier@unisg.ch,https://www.universityofst.gallenhsg.ch
Synthetic,University of St.Gallen (HSG),Dr. Lukas Meier,"Dr. Lukas Meier is a professor at the University of St.Gallen's School of Economics and Political Science (SEPS-HSG). He specializes in macroeconomic policy analysis, focusing on the impacts of fiscal and monetary policies on European economies. His research includes studying economic cycles and developing models to predict economic outcomes in response to policy changes.",Macroeconomics,lukas.meier@unisg.ch,https://www.universityofst.gallenhsg.ch
Synthetic,Swiss Institute for International Economics and Applied Economic Research,Dr. Lukas Meier,Dr. Lukas Meier is a leading researcher at the Swiss Institute for International Economics and Applied Economic Research in St. Gallen. His work focuses on the impact of trade policies and global economic integration on emerging markets. Dr. Meier has published extensively on international trade dynamics and advises several international organizations on economic policy matters.,International Economics,lukas.meier@siieaer.ch,https://www.swissinstituteforinternationaleconomicsandappliedeconomicresearch.ch
Synthetic,St. Gallen Center for Global Economic Studies,Dr. Anna Müller,Dr. Anna Müller is a distinguished economist at the St. Gallen Center for Global Economic Studies. Her research primarily focuses on international trade agreements and their effects on economic development and inequality. She is known for her analytical work on the implications of trade policy changes in the European Union and has authored several influential papers on global supply chain dynamics.,International Economics,anna.mueller@sgces.ch,https://www.st.gallencenterforglobaleconomicstudies.ch
Synthetic,University of St.Gallen (HSG),Dr. Lukas Meier,"Dr. Lukas Meier is a renowned expert in Business Law, specializing in international trade regulations and corporate compliance. He is a professor at the University of St.Gallen and leads research projects focusing on the intersection of digital innovation and legal frameworks in business.",Business Law,lukas.meier@unisg.ch,https://www.universityofst.gallenhsg.ch
Synthetic,University of St.Gallen (HSG),Dr. Anna Müller,"Dr. Anna Müller is an esteemed expert in Business Law, with a focus on mergers and acquisitions and corporate governance. She is a senior lecturer at the University of St.Gallen, where she also conducts research on the impact of European Union regulations on Swiss businesses and teaches courses on international business transactions.",Business Law,anna.mueller@unisg.ch,https://www.universityofst.gallenhsg.ch
Synthetic,"Institute for Technology and Law, University of St.Gallen",Claudia Müller,"Claudia Müller is a leading expert in Technology Law, focusing on data privacy, digital rights, and the legal implications of artificial intelligence. She conducts research and teaches at the University of St.Gallen, where she explores the intersection of law and emerging technologies.",Technology Law,claudia.mueller@itl.unisg.ch,"https://www.institutefortechnologyandlaw,universityofst.gallen.ch"
Synthetic,"Institute for Legal Studies in Technology, University of St.Gallen",Lukas Weber,"Lukas Weber is an esteemed scholar in Technology Law, with a particular focus on cybersecurity regulations, intellectual property in the digital age, and the legal frameworks surrounding blockchain technologies. He is a professor and researcher at the University of St.Gallen, where he examines how legal systems can adapt to technological advancements.",Technology Law,lukas.weber@ilst.unisg.ch,"https://www.instituteforlegalstudiesintechnology,universityofst.gallen.ch"
Synthetic,University of St. Gallen (HSG),Dr. Claudia Müller,"Dr. Claudia Müller is a renowned expert in Corporate Law, specializing in mergers and acquisitions, corporate governance, and compliance. She is a professor at the University of St. Gallen's School of Law, where she conducts research and teaches courses on international corporate regulation and legal frameworks.",Corporate Law,claudia.mueller@unisg.ch,https://www.universityofst.gallenhsg.ch
Synthetic,University of St. Gallen (HSG),Dr. Lukas Schmid,"Dr. Lukas Schmid is a distinguished authority in Corporate Law, focusing on corporate finance, international business transactions, and regulatory compliance. He serves as an associate professor at the University of St. Gallen's School of Law, where he leads research projects and lectures on the intricacies of cross-border corporate operations and legal strategy.",Corporate Law,lukas.schmid@unisg.ch,https://www.universityofst.gallenhsg.ch
Synthetic,"Institute for Business Ethics, University of St.Gallen",Dr. Claudia Meier,"Dr. Claudia Meier is a renowned expert in applied ethics, focusing on corporate social responsibility and ethical decision-making in business. She has published extensively on the ethical implications of emerging technologies and is a sought-after speaker at international conferences on ethics and business practices.",Ethics,claudia.meier@unisg.ch,"https://www.instituteforbusinessethics,universityofst.gallen.ch"
Synthetic,"Institute of Ethics and Human Rights, University of St.Gallen",Dr. Lukas Schmid,"Dr. Lukas Schmid is an esteemed scholar in the field of ethics, specializing in human rights and ethical governance. His research explores the intersection of ethics, law, and policy, particularly in the context of global human rights challenges. Dr. Schmid is recognized for his contributions to ethical theory and his advisory roles in international human rights organizations.",Ethics,lukas.schmid@unisg.ch,"https://www.instituteofethicsandhumanrights,universityofst.gallen.ch"
Synthetic,University of St.Gallen (HSG),Dr. Livia Müller,"Dr. Livia Müller is a renowned philosopher and professor at the University of St.Gallen, specializing in existential philosophy and ethics. Her research focuses on the intersection of human freedom and moral responsibility, contributing to contemporary debates on the nature of free will and ethical decision-making.",Philosophy,livia.mueller@unisg.ch,https://www.universityofst.gallenhsg.ch
Synthetic,University of St.Gallen (HSG),Dr. Jonas Weiss,"Dr. Jonas Weiss is a distinguished philosopher and lecturer at the University of St.Gallen, focusing on contemporary political philosophy and ethics. His research examines the philosophical underpinnings of democratic theory and the ethical implications of global governance, contributing to discussions on justice and equality in international relations.",Philosophy,jonas.weiss@unisg.ch,https://www.universityofst.gallenhsg.ch
Synthetic,Institute for Social Innovation and Impact (ISII),Lukas Meier,"Lukas Meier is a leading expert in social innovation, focusing on developing sustainable solutions to societal challenges. He works at the Institute for Social Innovation and Impact in St. Gallen, where he leads projects on community-driven social entrepreneurship and collaborates with local and international partners to foster systemic change. His work includes research on innovative policy frameworks and the implementation of social impact measurement tools.",Social Innovation,lukas.meier@isii.unisg.ch,https://www.instituteforsocialinnovationandimpactisii.ch
Synthetic,Center for Social Innovation and Entrepreneurship,Sophie Keller,"Sophie Keller is a renowned expert in social innovation, specializing in the integration of technology and community development to address social inequalities. She works at the Center for Social Innovation and Entrepreneurship in St. Gallen, where she leads initiatives aimed at leveraging digital platforms for social good. Her research focuses on creating participatory models that empower marginalized communities, and she collaborates with a network of European organizations to promote inclusive innovation strategies.",Social Innovation,sophie.keller@csie.unisg.ch,https://www.centerforsocialinnovationandentrepreneurship.ch
Synthetic,"Institute of Artificial Intelligence and Data Science, University of St.Gallen (HSG)",Lukas Schmid,"Lukas Schmid is a leading researcher in the field of Artificial Intelligence, specializing in machine learning algorithms and their applications in natural language processing. At the University of St.Gallen, he leads a team focused on developing AI-driven solutions for real-world problems, particularly in the areas of healthcare and finance.",Artificial Intelligence,lukas.schmid@unisg.ch,"https://www.instituteofartificialintelligenceanddatascience,universityofst.gallenhsg.ch"
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Lukas Meier,"Lukas Meier is a leading expert in the field of Data Science, specializing in machine learning and data analytics. He is a professor at the Department of Computer Science at the Eastern Switzerland University of Applied Sciences, where he conducts research on predictive modeling and big data applications. He has published numerous papers on data-driven decision-making and regularly collaborates with industry partners to implement innovative data solutions.",Data Science,lukas.meier@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
Synthetic,"Institute of Information Management, University of St.Gallen",Lukas Müller,"Lukas Müller is a leading expert in IT Strategy, focusing on digital transformation and strategic IT governance. He works at the Institute of Information Management at the University of St.Gallen, where he leads research projects on aligning IT initiatives with business goals to enhance organizational performance.",IT Strategy,lukas.mueller@unisg.ch,"https://www.instituteofinformationmanagement,universityofst.gallen.ch"
Synthetic,"Swiss Institute of IT Strategy, University of St.Gallen",Claudia Weber,"Claudia Weber is a renowned expert in IT Strategy, specializing in the integration of emerging technologies into corporate strategy frameworks. She works at the Swiss Institute of IT Strategy at the University of St.Gallen, where she conducts research on strategic IT planning and its impact on competitive advantage and innovation.",IT Strategy,claudia.weber@unisg.ch,"https://www.swissinstituteofitstrategy,universityofst.gallen.ch"
Synthetic,University of St.Gallen (HSG),Lukas Meier,"Lukas Meier is a senior lecturer and researcher at the Institute of Accounting, Controlling & Auditing (ACA-HSG) at the University of St.Gallen. His work focuses on financial accounting, auditing standards, and the integration of digital technologies in accounting practices.",Accounting,lukas.meier@unisg.ch,https://www.universityofst.gallenhsg.ch
Synthetic,University of St.Gallen (HSG),Sophie Müller,"Sophie Müller is a professor and researcher at the Institute of Accounting, Controlling & Auditing (ACA-HSG) at the University of St.Gallen. Her research areas include corporate financial reporting, sustainability accounting, and the impact of regulatory changes on international financial practices.",Accounting,sophie.mueller@unisg.ch,https://www.universityofst.gallenhsg.ch
Synthetic,St.Gallen Institute of Financial Management,Sophie Keller,"Sophie Keller is a leading expert in Financial Control, specializing in budgeting, forecasting, and financial analysis at the St.Gallen Institute of Financial Management. She has over 15 years of experience in developing innovative financial strategies and is renowned for her research on cost management and performance measurement in multinational corporations.",Financial Control,sophie.keller@sgifm.ch,https://www.st.galleninstituteoffinancialmanagement.ch
Synthetic,Center for Financial Control Studies (CFCS) at the University of St.Gallen,Lukas Meier,"Lukas Meier is a distinguished expert in Financial Control, focusing on strategic financial planning and internal control systems at the Center for Financial Control Studies (CFCS) at the University of St.Gallen. With over 12 years of experience, he has contributed significantly to the development of advanced financial monitoring frameworks and is recognized for his research on risk management and financial governance in complex organizations.",Financial Control,lukas.meier@cfcs.unisg.ch,https://www.centerforfinancialcontrolstudiescfcsattheuniversityofst.gallen.ch
Synthetic,Center for Compliance and Integrity Management (CCIM) at the University of St.Gallen,Elena Müller,"Elena Müller is a leading expert in corporate compliance, specializing in regulatory frameworks and ethical governance. She is a senior researcher at the Center for Compliance and Integrity Management (CCIM) at the University of St.Gallen, where she focuses on developing innovative strategies for compliance risk management and conducts workshops on international compliance standards.",Compliance,elena.mueller@ccim.unisg.ch,https://www.centerforcomplianceandintegritymanagementccimattheuniversityofst.gallen.ch
